,query_no,query,question_rank,question,click_history,explanation,class_1,class_2,class_3,class_4
15,0,Atorvastatin,5,How do you feel when your B12 is low?,"['Can atorvastatin cause constipation?', 'Do statins affect your bowel movements?', 'Can metformin cause constipation?', 'Does vitamin B12 help with constipation?', 'What deficiency causes tingling in hands and feet?']",,,,,
16,0,Atorvastatin,6,What vitamin deficiency causes a stiff neck?,"['Can atorvastatin cause constipation?', 'Do statins affect your bowel movements?', 'Can metformin cause constipation?', 'Does vitamin B12 help with constipation?', 'What deficiency causes tingling in hands and feet?', 'How do you feel when your B12 is low?']",,,,,
17,0,Atorvastatin,7,What illness starts with a stiff neck?,"['Can atorvastatin cause constipation?', 'Do statins affect your bowel movements?', 'Can metformin cause constipation?', 'Does vitamin B12 help with constipation?', 'What deficiency causes tingling in hands and feet?', 'How do you feel when your B12 is low?', 'What vitamin deficiency causes a stiff neck?']",,,,,
18,0,Atorvastatin,8,What organs can cause neck and shoulder pain?,"['Can atorvastatin cause constipation?', 'Do statins affect your bowel movements?', 'Can metformin cause constipation?', 'Does vitamin B12 help with constipation?', 'What deficiency causes tingling in hands and feet?', 'How do you feel when your B12 is low?', 'What vitamin deficiency causes a stiff neck?', 'What illness starts with a stiff neck?']",,,,,
19,0,Atorvastatin,9,What part of your shoulder hurts with heart problems?,"['Can atorvastatin cause constipation?', 'Do statins affect your bowel movements?', 'Can metformin cause constipation?', 'Does vitamin B12 help with constipation?', 'What deficiency causes tingling in hands and feet?', 'How do you feel when your B12 is low?', 'What vitamin deficiency causes a stiff neck?', 'What illness starts with a stiff neck?', 'What organs can cause neck and shoulder pain?']",,,,,
20,1,Metformin,0,Why may doctors no longer prescribe metformin?,[],,,,,
21,1,Metformin,1,Why has metformin been banned in America?,['Why may doctors no longer prescribe metformin?'],,,,,
22,1,Metformin,2,Why are so many people against metformin?,"['Why may doctors no longer prescribe metformin?', 'Why has metformin been banned in America?']",,,,,
23,1,Metformin,3,At what A1C should you start metformin?,"['Why may doctors no longer prescribe metformin?', 'Why has metformin been banned in America?', 'Why are so many people against metformin?']",,,,,
24,1,Metformin,4,At what A1C level does damage start?,"['Why may doctors no longer prescribe metformin?', 'Why has metformin been banned in America?', 'Why are so many people against metformin?', 'At what A1C should you start metformin?']",,,,,
25,1,Metformin,5,What is stroke level A1C?,"['Why may doctors no longer prescribe metformin?', 'Why has metformin been banned in America?', 'Why are so many people against metformin?', 'At what A1C should you start metformin?', 'At what A1C level does damage start?']",,,,,
26,1,Metformin,6,Can you reverse type 2 diabetes?,"['Why may doctors no longer prescribe metformin?', 'Why has metformin been banned in America?', 'Why are so many people against metformin?', 'At what A1C should you start metformin?', 'At what A1C level does damage start?', 'What is stroke level A1C?']",,,,,
27,1,Metformin,7,Is getting type 2 diabetes my fault?,"['Why may doctors no longer prescribe metformin?', 'Why has metformin been banned in America?', 'Why are so many people against metformin?', 'At what A1C should you start metformin?', 'At what A1C level does damage start?', 'What is stroke level A1C?', 'Can you reverse type 2 diabetes?']",,,,,
28,1,Metformin,8,Why did I get type two diabetes?,"['Why may doctors no longer prescribe metformin?', 'Why has metformin been banned in America?', 'Why are so many people against metformin?', 'At what A1C should you start metformin?', 'At what A1C level does damage start?', 'What is stroke level A1C?', 'Can you reverse type 2 diabetes?', 'Is getting type 2 diabetes my fault?']",,,,,
29,1,Metformin,9,What are the 4 stages of type 2 diabetes?,"['Why may doctors no longer prescribe metformin?', 'Why has metformin been banned in America?', 'Why are so many people against metformin?', 'At what A1C should you start metformin?', 'At what A1C level does damage start?', 'What is stroke level A1C?', 'Can you reverse type 2 diabetes?', 'Is getting type 2 diabetes my fault?', 'Why did I get type two diabetes?']",,,,,
30,1,Metformin,0,Why may doctors no longer prescribe metformin?,[],,,,,
31,1,Metformin,1,Why would you discontinue metformin?,['Why may doctors no longer prescribe metformin?'],,,,,
32,1,Metformin,2,What foods have natural metformin?,"['Why may doctors no longer prescribe metformin?', 'Why would you discontinue metformin?']",,,,,
33,1,Metformin,3,Can you drink coffee while on metformin?,"['Why may doctors no longer prescribe metformin?', 'Why would you discontinue metformin?', 'What foods have natural metformin?']",,,,,
34,1,Metformin,4,Why can't diabetics take ginger?,"['Why may doctors no longer prescribe metformin?', 'Why would you discontinue metformin?', 'What foods have natural metformin?', 'Can you drink coffee while on metformin?']",,,,,
35,1,Metformin,5,Is cucumber good for diabetics?,"['Why may doctors no longer prescribe metformin?', 'Why would you discontinue metformin?', 'What foods have natural metformin?', 'Can you drink coffee while on metformin?', ""Why can't diabetics take ginger?""]",,,,,
36,1,Metformin,6,Is potato ok for diabetics?,"['Why may doctors no longer prescribe metformin?', 'Why would you discontinue metformin?', 'What foods have natural metformin?', 'Can you drink coffee while on metformin?', ""Why can't diabetics take ginger?"", 'Is cucumber good for diabetics?']",,,,,
37,1,Metformin,7,Is carrot good for diabetes?,"['Why may doctors no longer prescribe metformin?', 'Why would you discontinue metformin?', 'What foods have natural metformin?', 'Can you drink coffee while on metformin?', ""Why can't diabetics take ginger?"", 'Is cucumber good for diabetics?', 'Is potato ok for diabetics?']",,,,,
38,1,Metformin,8,Which cheese is best for diabetics?,"['Why may doctors no longer prescribe metformin?', 'Why would you discontinue metformin?', 'What foods have natural metformin?', 'Can you drink coffee while on metformin?', ""Why can't diabetics take ginger?"", 'Is cucumber good for diabetics?', 'Is potato ok for diabetics?', 'Is carrot good for diabetes?']",,,,,
39,1,Metformin,9,Are pickles good for diabetics?,"['Why may doctors no longer prescribe metformin?', 'Why would you discontinue metformin?', 'What foods have natural metformin?', 'Can you drink coffee while on metformin?', ""Why can't diabetics take ginger?"", 'Is cucumber good for diabetics?', 'Is potato ok for diabetics?', 'Is carrot good for diabetes?', 'Which cheese is best for diabetics?']",,,,,
40,2,Lisinopril,0,Does lisinopril cause coughing?,[],,,,,
41,2,Lisinopril,1,Should I take lisinopril in the morning or at night?,['Does lisinopril cause coughing?'],,,,,
42,2,Lisinopril,2,What are two blood pressure medications to avoid?,"['Does lisinopril cause coughing?', 'Should I take lisinopril in the morning or at night?']",,,,,
43,2,Lisinopril,3,How much will 10 mg of lisinopril lower blood pressure?,"['Does lisinopril cause coughing?', 'Should I take lisinopril in the morning or at night?', 'What are two blood pressure medications to avoid?']",,,,,
44,2,Lisinopril,4,How to lower blood pressure naturally?,"['Does lisinopril cause coughing?', 'Should I take lisinopril in the morning or at night?', 'What are two blood pressure medications to avoid?', 'How much will 10 mg of lisinopril lower blood pressure?']",,,,,
45,2,Lisinopril,5,Can anxiety cause high blood pressure?,"['Does lisinopril cause coughing?', 'Should I take lisinopril in the morning or at night?', 'What are two blood pressure medications to avoid?', 'How much will 10 mg of lisinopril lower blood pressure?', 'How to lower blood pressure naturally?']",,,,,
46,2,Lisinopril,6,Does lack of sleep cause high blood pressure?,"['Does lisinopril cause coughing?', 'Should I take lisinopril in the morning or at night?', 'What are two blood pressure medications to avoid?', 'How much will 10 mg of lisinopril lower blood pressure?', 'How to lower blood pressure naturally?', 'Can anxiety cause high blood pressure?']",,,,,
47,2,Lisinopril,7,What is the best sleeping position for high blood pressure?,"['Does lisinopril cause coughing?', 'Should I take lisinopril in the morning or at night?', 'What are two blood pressure medications to avoid?', 'How much will 10 mg of lisinopril lower blood pressure?', 'How to lower blood pressure naturally?', 'Can anxiety cause high blood pressure?', 'Does lack of sleep cause high blood pressure?']",,,,,
48,2,Lisinopril,8,How to fall asleep with high blood pressure?,"['Does lisinopril cause coughing?', 'Should I take lisinopril in the morning or at night?', 'What are two blood pressure medications to avoid?', 'How much will 10 mg of lisinopril lower blood pressure?', 'How to lower blood pressure naturally?', 'Can anxiety cause high blood pressure?', 'Does lack of sleep cause high blood pressure?', 'What is the best sleeping position for high blood pressure?']",,,,,
49,2,Lisinopril,9,Does high blood pressure affect vision?,"['Does lisinopril cause coughing?', 'Should I take lisinopril in the morning or at night?', 'What are two blood pressure medications to avoid?', 'How much will 10 mg of lisinopril lower blood pressure?', 'How to lower blood pressure naturally?', 'Can anxiety cause high blood pressure?', 'Does lack of sleep cause high blood pressure?', 'What is the best sleeping position for high blood pressure?', 'How to fall asleep with high blood pressure?']",,,,,
50,2,Lisinopril,0,What is the major side effect of lisinopril?,[],,,,,
51,2,Lisinopril,1,Why can't you eat bananas with lisinopril?,['What is the major side effect of lisinopril?'],,,,,
52,2,Lisinopril,2,Can I drink coffee while taking lisinopril?,"['What is the major side effect of lisinopril?', ""Why can't you eat bananas with lisinopril?""]",,,,,
53,2,Lisinopril,3,Does anxiety cause high blood pressure?,"['What is the major side effect of lisinopril?', ""Why can't you eat bananas with lisinopril?"", 'Can I drink coffee while taking lisinopril?']",,,,,
54,2,Lisinopril,4,How to calm down before taking blood pressure?,"['What is the major side effect of lisinopril?', ""Why can't you eat bananas with lisinopril?"", 'Can I drink coffee while taking lisinopril?', 'Does anxiety cause high blood pressure?']",,,,,
55,2,Lisinopril,5,How do you bring your blood pressure down in a hurry?,"['What is the major side effect of lisinopril?', ""Why can't you eat bananas with lisinopril?"", 'Can I drink coffee while taking lisinopril?', 'Does anxiety cause high blood pressure?', 'How to calm down before taking blood pressure?']",,,,,
56,2,Lisinopril,6,What is the 60 second trick to lower blood pressure?,"['What is the major side effect of lisinopril?', ""Why can't you eat bananas with lisinopril?"", 'Can I drink coffee while taking lisinopril?', 'Does anxiety cause high blood pressure?', 'How to calm down before taking blood pressure?', 'How do you bring your blood pressure down in a hurry?']",,,,,
57,2,Lisinopril,7,Can I sleep with high blood pressure?,"['What is the major side effect of lisinopril?', ""Why can't you eat bananas with lisinopril?"", 'Can I drink coffee while taking lisinopril?', 'Does anxiety cause high blood pressure?', 'How to calm down before taking blood pressure?', 'How do you bring your blood pressure down in a hurry?', 'What is the 60 second trick to lower blood pressure?']",,,,,
58,2,Lisinopril,8,What causes blood pressure to spike at night?,"['What is the major side effect of lisinopril?', ""Why can't you eat bananas with lisinopril?"", 'Can I drink coffee while taking lisinopril?', 'Does anxiety cause high blood pressure?', 'How to calm down before taking blood pressure?', 'How do you bring your blood pressure down in a hurry?', 'What is the 60 second trick to lower blood pressure?', 'Can I sleep with high blood pressure?']",,,,,
59,2,Lisinopril,9,Why do I get three different blood pressure readings?,"['What is the major side effect of lisinopril?', ""Why can't you eat bananas with lisinopril?"", 'Can I drink coffee while taking lisinopril?', 'Does anxiety cause high blood pressure?', 'How to calm down before taking blood pressure?', 'How do you bring your blood pressure down in a hurry?', 'What is the 60 second trick to lower blood pressure?', 'Can I sleep with high blood pressure?', 'What causes blood pressure to spike at night?']",,,,,
60,3,Levothyroxine,0,Will levothyroxine cause weight gain?,[],,,,,
61,3,Levothyroxine,1,How much levothyroxine should I take after a thyroidectomy?,['Will levothyroxine cause weight gain?'],,,,,
62,3,Levothyroxine,0,How to administer levothyroxine?,[],,,,,
63,3,Levothyroxine,1,How to take levothyroxine and metformin together?,['How to administer levothyroxine?'],,,,,
64,4,Amlodipine,0,What should not be taken with amlodipine?,[],,,,,
65,4,Amlodipine,1,How much will 10 mg amlodipine lower blood pressure?,['What should not be taken with amlodipine?'],,,,,
66,4,Amlodipine,2,What is normal blood pressure by age?,"['What should not be taken with amlodipine?', 'How much will 10 mg amlodipine lower blood pressure?']",,,,,
67,4,Amlodipine,3,What is a stroke blood pressure reading?,"['What should not be taken with amlodipine?', 'How much will 10 mg amlodipine lower blood pressure?', 'What is normal blood pressure by age?']",,,,,
68,4,Amlodipine,4,How high does your blood sugar have to be to have a stroke?,"['What should not be taken with amlodipine?', 'How much will 10 mg amlodipine lower blood pressure?', 'What is normal blood pressure by age?', 'What is a stroke blood pressure reading?']",,,,,
69,4,Amlodipine,5,What is a normal A1C level for seniors?,"['What should not be taken with amlodipine?', 'How much will 10 mg amlodipine lower blood pressure?', 'What is normal blood pressure by age?', 'What is a stroke blood pressure reading?', 'How high does your blood sugar have to be to have a stroke?']",,,,,
70,4,Amlodipine,6,At what A1C are you no longer diabetic?,"['What should not be taken with amlodipine?', 'How much will 10 mg amlodipine lower blood pressure?', 'What is normal blood pressure by age?', 'What is a stroke blood pressure reading?', 'How high does your blood sugar have to be to have a stroke?', 'What is a normal A1C level for seniors?']",,,,,
71,4,Amlodipine,7,Is a 5.4 A1C considered pre-diabetic?,"['What should not be taken with amlodipine?', 'How much will 10 mg amlodipine lower blood pressure?', 'What is normal blood pressure by age?', 'What is a stroke blood pressure reading?', 'How high does your blood sugar have to be to have a stroke?', 'What is a normal A1C level for seniors?', 'At what A1C are you no longer diabetic?']",,,,,
72,4,Amlodipine,8,What is the highest A1C ever recorded?,"['What should not be taken with amlodipine?', 'How much will 10 mg amlodipine lower blood pressure?', 'What is normal blood pressure by age?', 'What is a stroke blood pressure reading?', 'How high does your blood sugar have to be to have a stroke?', 'What is a normal A1C level for seniors?', 'At what A1C are you no longer diabetic?', 'Is a 5.4 A1C considered pre-diabetic?']",,,,,
73,4,Amlodipine,9,What is an excellent A1C score?,"['What should not be taken with amlodipine?', 'How much will 10 mg amlodipine lower blood pressure?', 'What is normal blood pressure by age?', 'What is a stroke blood pressure reading?', 'How high does your blood sugar have to be to have a stroke?', 'What is a normal A1C level for seniors?', 'At what A1C are you no longer diabetic?', 'Is a 5.4 A1C considered pre-diabetic?', 'What is the highest A1C ever recorded?']",,,,,
74,4,Amlodipine,0,What should not be taken with amlodipine?,[],,,,,
75,4,Amlodipine,1,What blood pressure medications cause itching?,['What should not be taken with amlodipine?'],,,,,
76,4,Amlodipine,2,What are the two worst blood pressure medications?,"['What should not be taken with amlodipine?', 'What blood pressure medications cause itching?']",,,,,
77,4,Amlodipine,3,What is normal blood pressure by age?,"['What should not be taken with amlodipine?', 'What blood pressure medications cause itching?', 'What are the two worst blood pressure medications?']",,,,,
78,4,Amlodipine,4,What time of day is blood pressure highest?,"['What should not be taken with amlodipine?', 'What blood pressure medications cause itching?', 'What are the two worst blood pressure medications?', 'What is normal blood pressure by age?']",,,,,
79,4,Amlodipine,5,What is the best position to take blood pressure?,"['What should not be taken with amlodipine?', 'What blood pressure medications cause itching?', 'What are the two worst blood pressure medications?', 'What is normal blood pressure by age?', 'What time of day is blood pressure highest?']",,,,,
80,4,Amlodipine,6,Can a tight blood pressure cuff cause a high reading?,"['What should not be taken with amlodipine?', 'What blood pressure medications cause itching?', 'What are the two worst blood pressure medications?', 'What is normal blood pressure by age?', 'What time of day is blood pressure highest?', 'What is the best position to take blood pressure?']",,,,,
81,4,Amlodipine,7,Why does raising your arm lower your blood pressure?,"['What should not be taken with amlodipine?', 'What blood pressure medications cause itching?', 'What are the two worst blood pressure medications?', 'What is normal blood pressure by age?', 'What time of day is blood pressure highest?', 'What is the best position to take blood pressure?', 'Can a tight blood pressure cuff cause a high reading?']",,,,,
82,4,Amlodipine,8,Why is my second blood pressure reading always lower?,"['What should not be taken with amlodipine?', 'What blood pressure medications cause itching?', 'What are the two worst blood pressure medications?', 'What is normal blood pressure by age?', 'What time of day is blood pressure highest?', 'What is the best position to take blood pressure?', 'Can a tight blood pressure cuff cause a high reading?', 'Why does raising your arm lower your blood pressure?']",,,,,
83,4,Amlodipine,9,Should I average three blood pressure readings?,"['What should not be taken with amlodipine?', 'What blood pressure medications cause itching?', 'What are the two worst blood pressure medications?', 'What is normal blood pressure by age?', 'What time of day is blood pressure highest?', 'What is the best position to take blood pressure?', 'Can a tight blood pressure cuff cause a high reading?', 'Why does raising your arm lower your blood pressure?', 'Why is my second blood pressure reading always lower?']",,,,,
84,5,Metoprolol,0,What exactly does metoprolol do?,[],,,,,
85,5,Metoprolol,1,Can metoprolol cause leg cramps?,['What exactly does metoprolol do?'],,,,,
86,5,Metoprolol,2,What is the black box warning for metoprolol?,"['What exactly does metoprolol do?', 'Can metoprolol cause leg cramps?']",,,,,
87,5,Metoprolol,3,Who should avoid metoprolol?,"['What exactly does metoprolol do?', 'Can metoprolol cause leg cramps?', 'What is the black box warning for metoprolol?']",,,,,
88,5,Metoprolol,4,Can metoprolol cause eye problems?,"['What exactly does metoprolol do?', 'Can metoprolol cause leg cramps?', 'What is the black box warning for metoprolol?', 'Who should avoid metoprolol?']",,,,,
89,5,Metoprolol,5,Does metoprolol cause macular degeneration?,"['What exactly does metoprolol do?', 'Can metoprolol cause leg cramps?', 'What is the black box warning for metoprolol?', 'Who should avoid metoprolol?', 'Can metoprolol cause eye problems?']",,,,,
90,5,Metoprolol,6,Do heart meds cause dry eyes?,"['What exactly does metoprolol do?', 'Can metoprolol cause leg cramps?', 'What is the black box warning for metoprolol?', 'Who should avoid metoprolol?', 'Can metoprolol cause eye problems?', 'Does metoprolol cause macular degeneration?']",,,,,
91,5,Metoprolol,7,What is burning eyes a symptom of?,"['What exactly does metoprolol do?', 'Can metoprolol cause leg cramps?', 'What is the black box warning for metoprolol?', 'Who should avoid metoprolol?', 'Can metoprolol cause eye problems?', 'Does metoprolol cause macular degeneration?', 'Do heart meds cause dry eyes?']",,,,,
92,5,Metoprolol,8,How to cure dry eyes permanently?,"['What exactly does metoprolol do?', 'Can metoprolol cause leg cramps?', 'What is the black box warning for metoprolol?', 'Who should avoid metoprolol?', 'Can metoprolol cause eye problems?', 'Does metoprolol cause macular degeneration?', 'Do heart meds cause dry eyes?', 'What is burning eyes a symptom of?']",,,,,
93,5,Metoprolol,9,What vitamin am I lacking if I have dry eyes?,"['What exactly does metoprolol do?', 'Can metoprolol cause leg cramps?', 'What is the black box warning for metoprolol?', 'Who should avoid metoprolol?', 'Can metoprolol cause eye problems?', 'Does metoprolol cause macular degeneration?', 'Do heart meds cause dry eyes?', 'What is burning eyes a symptom of?', 'How to cure dry eyes permanently?']",,,,,
94,5,Metoprolol,0,What to avoid while taking metoprolol?,[],,,,,
95,5,Metoprolol,1,Can you take Eliquis and metoprolol together?,['What to avoid while taking metoprolol?'],,,,,
96,5,Metoprolol,2,Should I take metoprolol in the morning or at night?,"['What to avoid while taking metoprolol?', 'Can you take Eliquis and metoprolol together?']",,,,,
97,5,Metoprolol,3,What is normal blood pressure by age?,"['What to avoid while taking metoprolol?', 'Can you take Eliquis and metoprolol together?', 'Should I take metoprolol in the morning or at night?']",,,,,
98,5,Metoprolol,4,What is a stroke blood pressure reading?,"['What to avoid while taking metoprolol?', 'Can you take Eliquis and metoprolol together?', 'Should I take metoprolol in the morning or at night?', 'What is normal blood pressure by age?']",,,,,
99,5,Metoprolol,5,Are there signs months before a stroke?,"['What to avoid while taking metoprolol?', 'Can you take Eliquis and metoprolol together?', 'Should I take metoprolol in the morning or at night?', 'What is normal blood pressure by age?', 'What is a stroke blood pressure reading?']",,,,,
100,5,Metoprolol,6,How to test for stroke at home?,"['What to avoid while taking metoprolol?', 'Can you take Eliquis and metoprolol together?', 'Should I take metoprolol in the morning or at night?', 'What is normal blood pressure by age?', 'What is a stroke blood pressure reading?', 'Are there signs months before a stroke?']",,,,,
101,5,Metoprolol,7,Am I having a stroke or anxiety?,"['What to avoid while taking metoprolol?', 'Can you take Eliquis and metoprolol together?', 'Should I take metoprolol in the morning or at night?', 'What is normal blood pressure by age?', 'What is a stroke blood pressure reading?', 'Are there signs months before a stroke?', 'How to test for stroke at home?']",,,,,
102,5,Metoprolol,8,What is the 3-3-3 rule for anxiety?,"['What to avoid while taking metoprolol?', 'Can you take Eliquis and metoprolol together?', 'Should I take metoprolol in the morning or at night?', 'What is normal blood pressure by age?', 'What is a stroke blood pressure reading?', 'Are there signs months before a stroke?', 'How to test for stroke at home?', 'Am I having a stroke or anxiety?']",,,,,
103,5,Metoprolol,9,What is the 5 finger rule for panic attacks?,"['What to avoid while taking metoprolol?', 'Can you take Eliquis and metoprolol together?', 'Should I take metoprolol in the morning or at night?', 'What is normal blood pressure by age?', 'What is a stroke blood pressure reading?', 'Are there signs months before a stroke?', 'How to test for stroke at home?', 'Am I having a stroke or anxiety?', 'What is the 3-3-3 rule for anxiety?']",,,,,
104,6,Albuterol,0,Is albuterol safe for toddlers?,[],,,,,
105,6,Albuterol,1,Does albuterol stop coughing?,['Is albuterol safe for toddlers?'],,,,,
106,6,Albuterol,2,What does a pneumonia cough sound like?,"['Is albuterol safe for toddlers?', 'Does albuterol stop coughing?']",,,,,
107,6,Albuterol,3,What is a COVID cough?,"['Is albuterol safe for toddlers?', 'Does albuterol stop coughing?', 'What does a pneumonia cough sound like?']",,,,,
108,6,Albuterol,4,What are signs of walking pneumonia?,"['Is albuterol safe for toddlers?', 'Does albuterol stop coughing?', 'What does a pneumonia cough sound like?', 'What is a COVID cough?']",,,,,
109,6,Albuterol,5,How do I check myself for pneumonia?,"['Is albuterol safe for toddlers?', 'Does albuterol stop coughing?', 'What does a pneumonia cough sound like?', 'What is a COVID cough?', 'What are signs of walking pneumonia?']",,,,,
110,6,Albuterol,6,What is the difference between a chest infection and pneumonia?,"['Is albuterol safe for toddlers?', 'Does albuterol stop coughing?', 'What does a pneumonia cough sound like?', 'What is a COVID cough?', 'What are signs of walking pneumonia?', 'How do I check myself for pneumonia?']",,,,,
111,6,Albuterol,7,What's mistaken for pneumonia?,"['Is albuterol safe for toddlers?', 'Does albuterol stop coughing?', 'What does a pneumonia cough sound like?', 'What is a COVID cough?', 'What are signs of walking pneumonia?', 'How do I check myself for pneumonia?', 'What is the difference between a chest infection and pneumonia?']",,,,,
112,6,Albuterol,8,When to go to urgent care for pneumonia?,"['Is albuterol safe for toddlers?', 'Does albuterol stop coughing?', 'What does a pneumonia cough sound like?', 'What is a COVID cough?', 'What are signs of walking pneumonia?', 'How do I check myself for pneumonia?', 'What is the difference between a chest infection and pneumonia?', ""What's mistaken for pneumonia?""]",,,,,
113,6,Albuterol,9,What not to do when you have pneumonia?,"['Is albuterol safe for toddlers?', 'Does albuterol stop coughing?', 'What does a pneumonia cough sound like?', 'What is a COVID cough?', 'What are signs of walking pneumonia?', 'How do I check myself for pneumonia?', 'What is the difference between a chest infection and pneumonia?', ""What's mistaken for pneumonia?"", 'When to go to urgent care for pneumonia?']",,,,,
114,6,Albuterol,0,What does albuterol actually do?,[],,,,,
115,6,Albuterol,1,Can albuterol cause diarrhea?,['What does albuterol actually do?'],,,,,
116,6,Albuterol,2,How fast does albuterol work?,"['What does albuterol actually do?', 'Can albuterol cause diarrhea?']",,,,,
117,6,Albuterol,3,How long do you hold albuterol in your lungs?,"['What does albuterol actually do?', 'Can albuterol cause diarrhea?', 'How fast does albuterol work?']",,,,,
118,6,Albuterol,4,Can my lungs become dependent on albuterol?,"['What does albuterol actually do?', 'Can albuterol cause diarrhea?', 'How fast does albuterol work?', 'How long do you hold albuterol in your lungs?']",,,,,
119,6,Albuterol,5,What is an alternative to albuterol?,"['What does albuterol actually do?', 'Can albuterol cause diarrhea?', 'How fast does albuterol work?', 'How long do you hold albuterol in your lungs?', 'Can my lungs become dependent on albuterol?']",,,,,
120,6,Albuterol,6,How can I clear my lungs without albuterol?,"['What does albuterol actually do?', 'Can albuterol cause diarrhea?', 'How fast does albuterol work?', 'How long do you hold albuterol in your lungs?', 'Can my lungs become dependent on albuterol?', 'What is an alternative to albuterol?']",,,,,
121,6,Albuterol,7,What drink is good for asthma?,"['What does albuterol actually do?', 'Can albuterol cause diarrhea?', 'How fast does albuterol work?', 'How long do you hold albuterol in your lungs?', 'Can my lungs become dependent on albuterol?', 'What is an alternative to albuterol?', 'How can I clear my lungs without albuterol?']",,,,,
122,6,Albuterol,8,What tea is good for clearing lungs?,"['What does albuterol actually do?', 'Can albuterol cause diarrhea?', 'How fast does albuterol work?', 'How long do you hold albuterol in your lungs?', 'Can my lungs become dependent on albuterol?', 'What is an alternative to albuterol?', 'How can I clear my lungs without albuterol?', 'What drink is good for asthma?']",,,,,
